versions,id_database,ood_database,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
with OE,cifar10,cifar100,0.7608366667,0.7895645833,0.7958970833,0.7331429167,0.58957875,0.6857804167,0.7856495833,0.78937375
,,dtd,0.952815625,0.95256875,0.9527601563,0.952259375,0.9505976563,0.951934375,0.9530539063,0.95271875
,,letters,0.9854473684,0.9849660088,0.9849342105,0.9845096491,0.9812307018,0.9817848684,0.9851061404,0.9850732456
,,mnist,0.9768023077,0.9768503846,0.9768411538,0.9766161538,0.9767196154,0.9769034615,0.9767384615,0.9767296154
,,tiny_imagenet_200,0.8930783289,0.8576614973,0.8908960963,0.8483372594,0.8531079545,0.9129420455,0.8848536096,0.8641034759
,cifar100,cifar10,0.58415,0.5654566667,0.5891179167,0.546635,0.5623954167,0.6046666667,0.57007125,0.577665
,,dtd,0.9499632813,0.9530375,0.9530921875,0.9383789063,0.9517695313,0.9524289063,0.9531632813,0.95300625
,,letters,0.9794973684,0.9869067982,0.9868429825,0.9832048246,0.9720594298,0.9721745614,0.9868370614,0.9868458333
,,mnist,0.9765746154,0.9769923077,0.9769546154,0.9697780769,0.9768969231,0.97662,0.9770873077,0.9767630769
,,tiny_imagenet_200,0.9702728476,0.9852908155,0.9852578476,0.9807191043,0.977875615,0.9775992647,0.9854849198,0.9851128877
,super_cifar100,super_cifar100,0.8001425,0.7989641667,0.8001866667,0.7881766667,0.7962308333,0.8147364155,0.79483,0.8013516667
without OE,cifar10,cifar100,0.7846783333,0.6871470833,0.78209625,0.6986204167,0.7862125,0.8416333333,0.769535,0.73731125
,,dtd,0.9504125,0.9353476563,0.950153125,0.9403625,0.9500945313,0.952665625,0.9500335938,0.9469882813
,,letters,0.7817085526,0.5704890351,0.7547131579,0.5967635965,0.7758657895,0.8810804825,0.8016578947,0.7033
,,mnist,0.7965069231,0.6601003846,0.7840776923,0.6802080769,0.7847726923,0.8954226923,0.7853584615,0.7362226923
,,tiny_imagenet_200,0.7509072995,0.5973804813,0.7463379412,0.615813516,0.7439202406,0.8619835561,0.7302620187,0.6761318048
,cifar100,cifar10,0.6164854167,0.5595733333,0.6132641667,0.5763566667,0.5690275,0.6598020833,0.5943466667,0.58938375
,,dtd,0.9320632813,0.9146390625,0.9312695313,0.9108734375,0.9219,0.939103125,0.9279289063,0.9236984375
,,letters,0.4532528509,0.3878267544,0.4622524123,0.4093140351,0.4557745614,0.4526934211,0.4537684211,0.420616886
,,mnist,0.5338457692,0.5051223077,0.5398703846,0.5381515385,0.5612380769,0.5329569231,0.5427011538,0.5151507692
,,tiny_imagenet_200,0.5245069786,0.4423172193,0.5279860294,0.4687742914,0.4797493048,0.5756993583,0.4887116711,0.4683133289
,super_cifar100,super_cifar100,0.8117958333,0.8013125,0.8118541667,0.7989591667,0.8041158333,0.8256533333,0.8068341667,0.8023533333
