versions,id_database,ood_database,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
with OE,cifar10,cifar100,0.9322079382,0.9255097367,0.9365850532,0.7676218551,0.9051562501,0.9141590839,0.9181705538,0.9167054441
,,dtd,0.9999174553,0.9999146071,0.9999674399,0.9995183455,0.9995047107,0.9998171465,0.9999655522,0.9999035686
,,letters,0.9993241253,0.9992894458,0.9993194924,0.9969959995,0.9987053547,0.9988627211,0.9993795871,0.9992447945
,,mnist,0.9999618955,0.9999956131,0.9999928856,0.9996983285,0.9999808003,0.9998947274,0.9999963146,0.999986
,,tiny_imagenet_200,0.9344958606,0.9059338184,0.9363722468,0.7887620452,0.9336002213,0.9575584181,0.9069034371,0.8900915439
,cifar100,cifar10,0.7323679664,0.6804169566,0.7319432558,0.5966288456,0.6807575912,0.7648274548,0.6725986075,0.6837104435
,,dtd,0.9979642371,0.9999760408,0.9999843779,0.9992015047,0.9978693914,0.9997156709,0.9999862786,0.9999409276
,,letters,0.978624922,0.9999933437,0.9999805565,0.9950998841,0.9862790096,0.9946705926,0.9999933914,0.9999201622
,,mnist,0.9840497511,0.9999837668,0.9999718013,0.99632732,0.999971606,0.9997208165,0.999995229,0.999908594
,,tiny_imagenet_200,0.9767205852,0.9986397074,0.998832259,0.98946901,0.9960125592,0.9965520719,0.9989583921,0.9976709092
,super_cifar100,super_cifar100,0.9291802208,0.9214579647,0.9276471422,0.864821654,0.9291214028,0.9407186289,0.9164033562,0.900582483
without OE,cifar10,cifar100,0.9277173766,0.827914939,0.9296656461,0.6790720891,0.9392005875,0.9540245552,0.8805228466,0.8450731077
,,dtd,0.9991828377,0.9945721341,0.9991712874,0.9904606805,0.9991480315,0.9998983032,0.9989881158,0.9975612678
,,letters,0.907488374,0.6947006591,0.8786271815,0.495921914,0.9068202777,0.9483369688,0.9118903071,0.833301038
,,mnist,0.9517117411,0.856176125,0.9436880325,0.6611257068,0.9519500067,0.9760791648,0.9359952904,0.8989694379
,,tiny_imagenet_200,0.8121237775,0.6533276674,0.8171090486,0.4430307399,0.835216265,0.9029026057,0.731412231,0.6724875667
,cifar100,cifar10,0.668919158,0.648470468,0.6761169748,0.5118207608,0.6865457826,0.8299434906,0.5909019921,0.6571590169
,,dtd,0.9924349296,0.9752648265,0.9921246434,0.9684874265,0.9890248604,0.9962611527,0.9885798765,0.9803608306
,,letters,0.4539085438,0.5192107804,0.4943476905,0.3363677428,0.5318014735,0.5183136726,0.5984432593,0.5486034815
,,mnist,0.615134104,0.6534624838,0.6442983374,0.5271286517,0.6775920526,0.6459998726,0.7137479455,0.6694320903
,,tiny_imagenet_200,0.6271336168,0.4861735715,0.6222823952,0.421294955,0.6472800015,0.7262691689,0.5549835363,0.4474479958
,super_cifar100,super_cifar100,0.9286667278,0.9149604387,0.9294236058,0.8656255903,0.9254524407,0.940732922,0.9171602273,0.8764610998
