versions,id_database,ood_database,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
with OE,cifar10,cifar100,0.9206356596,0.9243646623,0.9315963272,0.8474750092,0.8692423559,0.8941517218,0.918461748,0.9197209806
,,dtd,0.9987604083,0.9990993615,0.9995532359,0.9964960771,0.9929547906,0.9973142693,0.9996053708,0.9989664641
,,letters,0.9995000429,0.999564397,0.9995728315,0.9988309173,0.9988809102,0.9990737919,0.9995739266,0.9995329004
,,mnist,0.9999364104,0.9999949701,0.999992715,0.999649871,0.9999736624,0.9998190552,0.9999968945,0.9999876599
,,tiny_imagenet_200,0.9702502008,0.9577706814,0.9707607607,0.9089144972,0.963742308,0.9791646725,0.9609291815,0.9532177799
,cifar100,cifar10,0.7378320896,0.680749696,0.735406403,0.6264509886,0.6950666805,0.7634985269,0.6853287059,0.677573205
,,dtd,0.9680188948,0.9997176844,0.999793837,0.9878885719,0.9858947505,0.9960897526,0.9998335448,0.9993804068
,,letters,0.9711132828,0.9999941811,0.999974962,0.9933929377,0.9840200913,0.9934504765,0.9999941593,0.9998945975
,,mnist,0.9707151137,0.9999844486,0.9999724492,0.9938009301,0.9999650328,0.9996709935,0.9999951818,0.9999028538
,,tiny_imagenet_200,0.9696147349,0.9996208166,0.9996573432,0.9926192067,0.9962607071,0.9972991925,0.9997122223,0.99935764
,super_cifar100,super_cifar100,0.7751687033,0.753409745,0.7700708689,0.6752256879,0.7677883689,0.8062424984,0.73950815,0.7261204642
without OE,cifar10,cifar100,0.925129859,0.8497893285,0.9253187757,0.787257764,0.9315803188,0.950924355,0.8936910614,0.8661325073
,,dtd,0.9894874385,0.9392901958,0.9891898646,0.9373134333,0.9883380115,0.9985716104,0.9871912995,0.9726825089
,,letters,0.9483267769,0.8418387421,0.9350721619,0.7887767965,0.9473562856,0.9742336133,0.9510362695,0.910565962
,,mnist,0.9454889459,0.8614660137,0.9380084432,0.7739431754,0.9441825768,0.9742148797,0.9321773228,0.8995118995
,,tiny_imagenet_200,0.9217677942,0.8534285749,0.9217436297,0.7853593443,0.9261616561,0.9611249963,0.8963057435,0.8662400991
,cifar100,cifar10,0.7016620198,0.6349804182,0.700351666,0.5825121876,0.6917029515,0.822422115,0.6273078876,0.6514780535
,,dtd,0.9136601026,0.7765262594,0.9103478151,0.7772117703,0.8757821891,0.9523104896,0.8805494547,0.8228840703
,,letters,0.6769887267,0.6418764852,0.6963495363,0.560689143,0.7172189073,0.7203903549,0.7280120301,0.6637687716
,,mnist,0.6591246973,0.6212927448,0.6752472249,0.5572944009,0.7038566641,0.6863738003,0.7046891161,0.6410780652
,,tiny_imagenet_200,0.8199088948,0.740712766,0.8205989945,0.7126605601,0.8094805734,0.8601421534,0.7857953373,0.7253660459
,super_cifar100,super_cifar100,0.7789104286,0.7429755471,0.7804453772,0.6812823913,0.7678883982,0.8141503559,0.7546193188,0.6842838116
