versions,id_database,ood_database,ebo,fdbd,gen,klm,knn,mds,nnguide,odin,relation,she
with OE,cifar10,cifar100,0.8569901365,0.8513198015,0.856665595,0.8440194541,0.828306758,0.8176386138,0.84837719,0.8418517675,0.8531678644,0.8552517691
,,dtd,0.9992542937,0.9995530676,0.9996219342,0.9987123454,0.9982375604,0.9976461041,0.9996270214,0.999691283,0.9996111602,0.999614109
,,letters,0.9985765527,0.998473641,0.9985197029,0.9979966307,0.9984099554,0.9982132382,0.9986544984,0.9992085578,0.9985312702,0.9985542913
,,mnist,0.9997335262,0.9998638269,0.9997956002,0.9989913711,0.9997245474,0.9996955793,0.9998492984,0.9998846182,0.9997411303,0.9996748397
,,tiny_imagenet_200,0.9140293356,0.8985295858,0.9137369503,0.8705186394,0.9093520986,0.9229676943,0.9002355493,0.9152310674,0.8924112031,0.907733073
,cifar100,cifar10,0.7187861066,0.6973392275,0.7201258598,0.6953601623,0.7006133565,0.7234951999,0.7093797155,0.7121919023,0.7087689148,0.7211640854
,,dtd,0.9838628709,0.9998012752,0.9997920707,0.9944334653,0.9990803349,0.9986766542,0.9998179372,0.9997204555,0.9996329983,0.9997983032
,,letters,0.9852827544,0.9999499912,0.999934571,0.9961734291,0.9884899464,0.9950431958,0.9999595768,0.9999254043,0.9998622632,0.9999491553
,,mnist,0.9843874357,0.9996977067,0.9995408016,0.9946085013,0.9997608708,0.9980294837,0.9998717202,0.9996543069,0.9994136077,0.9998625387
,,tiny_imagenet_200,0.9809040921,0.9958649357,0.9954697478,0.9893550945,0.993776906,0.9917477933,0.9963426428,0.9928379533,0.9952973978,0.9963237261
,super_cifar100,super_cifar100,0.8921622075,0.8922471657,0.8923484693,0.8894068007,0.8900512352,0.8952839044,0.8918725213,0.8929012993,0.89185925,0.8924323753
without OE,cifar10,cifar100,0.8506094684,0.7952296765,0.8480828812,0.8077414371,0.8577354853,0.8784516052,0.833469055,0.823518619,0.8125972843,0.8414268277
,,dtd,0.9915698903,0.9763977826,0.9915936576,0.9756531132,0.9894867617,0.9972623168,0.9905146783,0.993789538,0.9875685403,0.990348826
,,letters,0.8175347988,0.667177046,0.7864530892,0.6542108765,0.8156851461,0.8721360108,0.8351541986,0.8867196351,0.7601989704,0.8677024769
,,mnist,0.8791204648,0.7980443965,0.8681702461,0.8000132598,0.8815366897,0.9230818327,0.8648069501,0.9386775234,0.8324750023,0.8957990523
,,tiny_imagenet_200,0.7584671147,0.6784095087,0.7558842678,0.6646995735,0.7695873566,0.8286042931,0.7284372274,0.7658153016,0.6886286606,0.7393390818
,cifar100,cifar10,0.7186950164,0.6846665483,0.7168469244,0.697282596,0.7001339751,0.7541271801,0.7055585283,0.6927002537,0.7012508999,0.6899076761
,,dtd,0.9770890873,0.9693554931,0.9763367183,0.9695109795,0.9690507604,0.9817045531,0.974404769,0.9802221762,0.9732357487,0.9687129678
,,letters,0.5205340767,0.4826977332,0.5264033685,0.4701997223,0.5262071084,0.5301600732,0.5493071991,0.583472638,0.5564632053,0.6662193205
,,mnist,0.6788127981,0.6481812182,0.68164256,0.6584751299,0.6881602171,0.6790567927,0.6826755237,0.7262447124,0.6710522444,0.7359677253
,,tiny_imagenet_200,0.6212124064,0.538718677,0.6255161054,0.5410808381,0.6102827708,0.6676083649,0.5864449079,0.614747681,0.5367793525,0.5285201479
,super_cifar100,super_cifar100,0.8947081358,0.8911875492,0.8946362325,0.8907094495,0.8916203776,0.9003678591,0.8929542479,0.8941330738,0.8923285728,0.8910433522
