versions,id_database,ood_database,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
with OE,cifar10,cifar100,0.4230766667,0.370575,0.3577291667,0.4861375,0.7699291667,0.5773308333,0.3776275,0.3705316667
,,dtd,0.0019125,0.0039125,0.002125,0.004875,0.0388625,0.0151875,0.001325,0.003575
,,letters,0.002219345238,0.002707738095,0.002699915825,0.003683333333,0.007594047619,0.006663690476,0.002358630952,0.002553571429
,,mnist,1.5e-05,8.571428571e-06,1.857142857e-05,0.0001678571429,2.428571429e-05,1.428571429e-06,1.142857143e-05,5.142857143e-05
,,tiny_imagenet_200,0.1279843182,0.1766107102,0.1310838352,0.19099875,0.1823199432,0.100820625,0.1388946023,0.167417017
,cifar100,cifar10,0.7831294292,0.8189758333,0.7716441667,0.8765905926,0.8250383333,0.7397933333,0.8100475,0.7925947029
,,dtd,0.0410375,0.0009375,0.0008375,0.04215,0.0211125,0.0146375,0.0006625,0.0011125
,,letters,0.01000922619,1.19047619e-06,2.380952381e-06,0.0200202381,0.02000208333,0.02001458333,0.0,3.273809524e-06
,,mnist,0.00067,5.428571429e-05,0.0001114285714,0.001359285714,7.214285714e-05,0.0007792857143,1.071428571e-05,0.0002278571429
,,tiny_imagenet_200,0.01214252841,0.001410397727,0.001435284091,0.002722102273,0.01153963068,0.01199193182,0.001122528409,0.001704119318
,super_cifar100,super_cifar100,0.7988333333,0.8055333333,0.7991458333,0.8479763889,0.8189166667,0.7265108677,0.8264666667,0.7966473666
without OE,cifar10,cifar100,0.3794516667,0.5742883333,0.3847558333,0.554545,0.3762308333,0.2667,0.410205,0.4749
,,dtd,0.049025,0.2874125,0.0521125,0.1999875,0.05455,0.006425,0.0522875,0.1006625
,,letters,0.2776785714,0.5633410714,0.3142997024,0.5308675595,0.2855205357,0.1434964286,0.2517598214,0.3842089286
,,mnist,0.3338214286,0.5860435714,0.3567442857,0.5523385714,0.3554471429,0.15076,0.355045,0.4455021429
,,tiny_imagenet_200,0.3230328693,0.5339259943,0.3294592614,0.5117657386,0.3325926989,0.1710470455,0.3513736648,0.4264859659
,cifar100,cifar10,0.7172041667,0.83073,0.7239641667,0.8183008333,0.8113041667,0.629585,0.761025,0.7715625
,,dtd,0.3372,0.6149125,0.3483,0.55355,0.5027125,0.228325,0.404725,0.4682625
,,letters,0.72396875,0.8128735119,0.7122428571,0.7985,0.7200110119,0.723878869,0.723391369,0.7690154762
,,mnist,0.8226085714,0.8760664286,0.81188,0.8254164286,0.77136,0.82312,0.8061664286,0.8580571429
,,tiny_imagenet_200,0.6357723295,0.7487590057,0.6314595739,0.7421846023,0.696416392,0.563912642,0.6843629261,0.7139346023
,super_cifar100,super_cifar100,0.7409333333,0.7933875,0.740025,0.7965916667,0.779525,0.6715416667,0.7656166667,0.7876541667
