versions,id_database,ood_database,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
with OE,cifar10,cifar100,0.7171841667,0.6827883333,0.71749,0.110175,0.7145316667,0.6820125,0.6499916667,0.653745
,,dtd,0.9969908333,0.9962825,0.9978575,0.9887533333,0.9898191667,0.9924316667,0.9985566667,0.994623374
,,letters,0.9985425,0.9983633333,0.9984705387,0.9969766667,0.9977233333,0.9978225,0.9985941667,0.9985067082
,,mnist,0.9999308333,0.9999958333,0.9999933333,0.9995466667,0.9999641667,0.99977,0.9999991667,0.9999941667
,,tiny_imagenet_200,0.8681291667,0.8231358333,0.8724758474,0.665245,0.8670958333,0.9027666667,0.8119441667,0.7806233333
,cifar100,cifar10,0.2666691667,0.2047458333,0.2708758333,0.1170291667,0.1757841667,0.291145,0.2097408333,0.2593216667
,,dtd,0.9681194551,0.9999608333,0.9999380652,0.9884963671,0.9853525,0.9945683333,0.9999833333,0.9995401509
,,letters,0.9710865016,0.9999883333,0.9999540013,0.9933773021,0.9834925,0.9928366667,0.9999866667,0.9998012888
,,mnist,0.9704982588,0.9999891667,0.9999831042,0.9930631171,0.9999708333,0.9992758333,0.9999916667,0.9998890649
,,tiny_imagenet_200,0.9699203704,0.9999983333,0.9999919663,0.9936669839,0.9964108333,0.99736,0.9999983333,0.9998118852
,super_cifar100,super_cifar100,0.3585989583,0.3181145833,0.3542552083,0.09195,0.3595604167,0.4131479167,0.309653125,0.2164885417
without OE,cifar10,cifar100,0.6925808333,0.3588291667,0.6994191667,0.0472025,0.7282066667,0.7718858333,0.4855691667,0.3919025
,,dtd,0.948175,0.7320616667,0.943915,0.6903725,0.9444941667,0.996885,0.9365383333,0.8534558333
,,letters,0.77976,0.43718,0.7251758333,0.1605033333,0.779745,0.8702233333,0.7960358333,0.6521575
,,mnist,0.8230708333,0.5784033333,0.7992458333,0.1441825,0.8296666667,0.9012616667,0.7712633333,0.6684058333
,,tiny_imagenet_200,0.6067783333,0.3389908333,0.6177133333,0.03459166667,0.652085,0.774805,0.4394891667,0.3515
,cifar100,cifar10,0.1497241667,0.1824758333,0.1657075,0.01921666667,0.183855,0.4122308333,0.09862666667,0.2141933333
,,dtd,0.574135,0.2083116667,0.5588016667,0.08033416667,0.4960891667,0.7484925,0.4339466667,0.2669266667
,,letters,0.184135,0.2959516667,0.2272775,0.1093183333,0.2624391667,0.2487275,0.36353,0.3483225
,,mnist,0.1635533333,0.2780475,0.203345,0.10871,0.2347691667,0.1900708333,0.33337,0.325245
,,tiny_imagenet_200,0.3303675,0.1823325,0.3176275,0.11224,0.35462,0.46311,0.238505,0.1211608333
,super_cifar100,super_cifar100,0.3408395833,0.2822479167,0.3450958333,0.09100520833,0.3358645833,0.4011135417,0.2857552083,0.1506708333
